user_id,n_skills,n_mastered_in_path,pct_wasted
14,7,2,28.57142857142857
21825,4,3,75.0
53167,52,38,73.07692307692307
54318,1,1,100.0
58161,1,0,0.0
64525,77,74,96.1038961038961
64531,3,3,100.0
64532,3,3,100.0
64535,3,3,100.0
64550,3,3,100.0
64634,12,5,41.66666666666667
70190,5,2,40.0
70363,29,23,79.3103448275862
70676,16,12,75.0
70677,37,29,78.37837837837837
70679,27,17,62.96296296296296
70682,30,25,83.33333333333334
70684,25,21,84.0
70687,29,18,62.06896551724138
70688,27,21,77.77777777777779
70692,11,6,54.54545454545454
70693,16,9,56.25
70695,41,35,85.36585365853658
70699,37,20,54.054054054054056
70701,40,37,92.5
70702,43,41,95.34883720930233
70704,33,32,96.96969696969697
70706,35,32,91.42857142857143
70707,77,68,88.31168831168831
70708,48,37,77.08333333333334
70709,23,13,56.52173913043478
70727,66,61,92.42424242424242
70728,36,25,69.44444444444444
70729,65,52,80.0
70730,45,41,91.11111111111111
70731,34,31,91.17647058823529
70732,54,40,74.07407407407408
70733,62,53,85.48387096774194
70734,22,17,77.27272727272727
70736,50,37,74.0
70740,44,32,72.72727272727273
70743,14,10,71.42857142857143
70744,42,37,88.09523809523809
70745,57,47,82.45614035087719
70746,75,59,78.66666666666666
70748,33,24,72.72727272727273
70750,14,9,64.28571428571429
70752,18,14,77.77777777777779
70754,12,6,50.0
70756,59,48,81.35593220338984
70758,23,16,69.56521739130434
70759,32,16,50.0
70816,57,41,71.9298245614035
70872,37,26,70.27027027027027
70874,66,54,81.81818181818183
71034,13,9,69.23076923076923
71066,8,4,50.0
71068,3,3,100.0
71105,7,2,28.57142857142857
71144,4,4,100.0
71146,3,3,100.0
71148,3,3,100.0
71151,3,3,100.0
71152,3,3,100.0
71173,3,3,100.0
71174,3,3,100.0
71175,7,3,42.857142857142854
71176,9,4,44.44444444444444
71177,10,8,80.0
71179,19,17,89.47368421052632
71180,3,3,100.0
71181,3,3,100.0
71183,13,11,84.61538461538461
71187,7,7,100.0
71188,3,3,100.0
71190,12,11,91.66666666666666
71191,12,5,41.66666666666667
71192,5,3,60.0
71193,14,8,57.14285714285714
71198,5,3,60.0
71203,3,3,100.0
71205,11,7,63.63636363636363
71208,3,3,100.0
71209,14,8,57.14285714285714
71210,11,6,54.54545454545454
71211,15,11,73.33333333333333
71212,6,6,100.0
71213,3,2,66.66666666666666
71215,4,3,75.0
71216,3,3,100.0
71219,3,3,100.0
71221,18,14,77.77777777777779
71224,12,9,75.0
71225,9,8,88.88888888888889
71227,10,8,80.0
71230,19,16,84.21052631578947
71231,7,6,85.71428571428571
